OR5J7P	ENST00000534621
APOC1	ENST00000592885
GPR183	ENST00000376414
COX5AP2	ENST00000554418
HMGN1P28	ENST00000521340
RP11-407P2.1	ENST00000485147
RP11-268G12.1	ENST00000422048
CTD-2302E22.4	ENST00000561909
LDHAP7	ENST00000398295
RN7SL535P	ENST00000479087
HOXB1	ENST00000239174
HNF1A-AS1	ENST00000537361
DPT	ENST00000367817
CCL26	ENST00000575353
CCL26	ENST00000005180
AC090286.4	ENST00000354432
RP11-529J17.1	ENST00000581877
CASP1P1	ENST00000526345
RN7SL318P	ENST00000471955
ARTN	ENST00000438616
NRBF2P4	ENST00000520874
TTLL6	ENST00000393382
RP11-108L7.15	ENST00000609242
RP11-134C1.1	ENST00000403060
SNORD59	ENST00000516873
SNORD59	ENST00000516708
RNU6-120P	ENST00000516077
RASSF8-AS1	ENST00000500276
ISLR2	ENST00000361742
RP11-395N6.4	ENST00000604085
SPDYE2	ENST00000507918
OR5A2	ENST00000302040
RP11-575M4.1	ENST00000433950
DARS2	ENST00000361951
RP11-461L18.1	ENST00000561496
AMZ2P2	ENST00000406819
MYCLP2	ENST00000449268
RP11-643N23.1	ENST00000519417
FOXD1	ENST00000499003
SNORD71	ENST00000411292
RN7SL394P	ENST00000480997
RP11-448P19.1	ENST00000526254
RNU6-16P	ENST00000384385
AL121656.5	ENST00000440786
IGHV2-5	ENST00000390597
IGHV2-5	ENST00000604885
COX6CP3	ENST00000580869
RFC3P1	ENST00000454568
RP11-829H16.2	ENST00000468034
SMG7-AS1	ENST00000421703
RP11-375D13.3	ENST00000526455
RP11-385D13.3	ENST00000584643
RN7SL621P	ENST00000472565
RP11-109P6.2	ENST00000522408
CD3E	ENST00000361763
OR11M1P	ENST00000415975
PDIA5	ENST00000316218
RP11-10J21.6	ENST00000523604
RP11-496I2.4	ENST00000547821
C2CD3	ENST00000334126
RP11-642E20.2	ENST00000504752
RP11-134L10.1	ENST00000608819
DEFB104A	ENST00000314265
RP11-1080G15.2	ENST00000518324
SYMPK	ENST00000245934
RP11-208C17.4	ENST00000442302
RP11-781P6.1	ENST00000584722
IGHV3-49	ENST00000603914
IGHV3-49	ENST00000390625
ATP6AP1L	ENST00000380167
PTN	ENST00000348225
TEX29	ENST00000283547
POLN	ENST00000382865
MROH1	ENST00000326134
MROH1	ENST00000568089
C16orf87	ENST00000565112
HMGB1P11	ENST00000413899
RNU7-65P	ENST00000516648
RP11-1006G14.2	ENST00000565305
SERPINB11	ENST00000382749
RP11-432M8.2	ENST00000425811
ESYT1	ENST00000267113
TRBV22-1	ENST00000565909
TRBV22-1	ENST00000424543
CEP250	ENST00000397527
ZBTB47	ENST00000232974
IFT122	ENST00000296266
TTC9C	ENST00000513247
RP11-158I3.1	ENST00000596612
OR7E93P	ENST00000508347
RP1-151B14.6	ENST00000419128
RP11-354K4.1	ENST00000440811
IKBIP	ENST00000299157
RP5-881L22.5	ENST00000438702
RP11-338N12.1	ENST00000430854
THAP7	ENST00000215742
CTC-461F20.1	ENST00000504935
RP11-126K1.9	ENST00000609583
RP11-680G24.1	ENST00000528546
FAM175A	ENST00000321945
SMOX	ENST00000305958
MGARP	ENST00000398955
PALB2	ENST00000261584
CTD-2335O3.2	ENST00000505723
TLN2	ENST00000306829
RP5-1148A21.3	ENST00000584934
KCNK4	ENST00000394525
SLC13A2	ENST00000576741
SLC13A2	ENST00000444914
OR5D16	ENST00000378396
RP11-629E24.2	ENST00000585222
ZNF568	ENST00000333987
MIR7-3HG	ENST00000586721
RUSC2	ENST00000361226
SNORA17	ENST00000391159
SNORA17	ENST00000391287
NPS	ENST00000398023
WHSC1L1	ENST00000317025
AC005754.8	ENST00000608268
AC005754.8	ENST00000606030
STAT4	ENST00000358470
AC009133.12	ENST00000569809
KYNUP1	ENST00000466683
GGT7	ENST00000336431
OR2AF1P	ENST00000454899
USP17L2	ENST00000333796
PPP1R10P1	ENST00000531876
CTD-2531D15.4	ENST00000528983
CASKIN1	ENST00000343516
ALDH3A2	ENST00000339618
RFX3	ENST00000382004
WDR25	ENST00000335290
ZNF541	ENST00000314121
RPL12P2	ENST00000406939
SPPL2C	ENST00000329196
OR5BQ1P	ENST00000608835
AC004691.5	ENST00000440376
RPL5P20	ENST00000403848
RN7SL156P	ENST00000480334
CAHM	ENST00000604200
RP11-323N12.5	ENST00000587434
HEATR6	ENST00000184956
LRFN4	ENST00000309602
ATP5EP1	ENST00000510257
GPR37L1	ENST00000367282
RNU6ATAC25P	ENST00000408798
AC068042.1	ENST00000482222
SNORA27	ENST00000362604
SNORA27	ENST00000384323
SNORA27	ENST00000363365
SNORA27	ENST00000516650
SNORA27	ENST00000364937
MIR1537	ENST00000410899
NRP1	ENST00000265371
OR5D15P	ENST00000531671
DNASE2	ENST00000222219
RP11-761B3.1	ENST00000422269
ZNF532	ENST00000336078
RP11-106E15.1	ENST00000579923
RP11-669N7.2	ENST00000512133
RN7SKP161	ENST00000411110
CTSA	ENST00000372484
SLC1A4	ENST00000234256
RNA5SP303	ENST00000516192
RP11-49I11.2	ENST00000589678
GPX3	ENST00000388825
AC156455.1	ENST00000423999
AC104024.2	ENST00000419151
MIR216B	ENST00000390186
STRC	ENST00000450892
RP11-123M21.1	ENST00000546563
RAB33A	ENST00000257017
AC072052.7	ENST00000496556
AC114755.3	ENST00000453101
ZBTB12	ENST00000441555
ZBTB12	ENST00000375525
ZBTB12	ENST00000432044
ZBTB12	ENST00000458242
ZBTB12	ENST00000375527
ADAM12	ENST00000368679
S100A10	ENST00000368809
YBX1P7	ENST00000436766
PABPC1P5	ENST00000603738
SYT13	ENST00000020926
RP13-228J13.6	ENST00000426370
RP13-228J13.6	ENST00000594115
RP5-1114G22.2	ENST00000412357
MIR3686	ENST00000577904
CASP5	ENST00000393141
RP11-297B17.3	ENST00000509911
ACTB	ENST00000331789
CTD-2647E9.1	ENST00000558657
TRAJ21	ENST00000390516
MGST1	ENST00000010404
RP11-379J13.2	ENST00000527281
TSSC2	ENST00000529482
RP11-403N16.5	ENST00000605404
INTS6-AS1	ENST00000598905
ZNF606	ENST00000341164
AC009237.14	ENST00000447357
RP11-654G14.1	ENST00000518439
GAPDHP62	ENST00000515313
IGKV1-17	ENST00000490686
API5	ENST00000531273
LRRC27	ENST00000368613
RP13-128O4.3	ENST00000506969
RP11-244B22.6	ENST00000564059
RP11-1H8.1	ENST00000562061
RNU6-40P	ENST00000384254
MRTO4	ENST00000330263
C22orf31	ENST00000216071
MIR526A2	ENST00000390198
TPI1P2	ENST00000491343
RP11-219E7.3	ENST00000556197
OR2AH1P	ENST00000425717
MRPL48	ENST00000310614
NUDT6	ENST00000304430
UBL5	ENST00000358666
RP11-572M11.1	ENST00000462010
LINC00316	ENST00000416722
RP11-464F9.22	ENST00000609434
AC010975.2	ENST00000427781
CCDC33	ENST00000321288
SNAPC4	ENST00000298532
DYNC1LI1	ENST00000273130
CYB5D1	ENST00000332439
AC009237.4	ENST00000425635
RP11-548K12.8	ENST00000512399
RN7SL689P	ENST00000577215
NOL8	ENST00000442668
NEU2	ENST00000233840
XPA	ENST00000375128
SIGLEC31P	ENST00000594237
TNIP1	ENST00000315050
TRAF3	ENST00000392745
RP11-1055B8.4	ENST00000583586
RP11-1055B8.4	ENST00000571724
RN7SL273P	ENST00000481561
RP11-176N18.2	ENST00000583629
MIR3685	ENST00000579373
RP3-508I15.19	ENST00000418803
RP11-831H9.11	ENST00000528405
AC000089.3	ENST00000424559
AC004980.7	ENST00000418663
MIR3914-1	ENST00000584357
UBXN7-AS1	ENST00000598881
RP11-392O17.1	ENST00000441790
RP11-159H3.1	ENST00000433839
CTD-2134P3.2	ENST00000603374
CYP4F32P	ENST00000570250
CYP4F32P	ENST00000426492
MAP1LC3B	ENST00000268607
IP6K3	ENST00000293756
CYCSP2	ENST00000558168
COX6A2	ENST00000287490
AC018442.1	ENST00000421439
APPBP2	ENST00000083182
ADD3	ENST00000356080
CT47A6	ENST00000443600
RP11-680F20.9	ENST00000526211
RP11-147I11.1	ENST00000437555
SMAGP	ENST00000398453
WI2-2373I1.1	ENST00000506382
AC090587.5	ENST00000415809
MAP7D3	ENST00000316077
AP000476.1	ENST00000453784
LINC01100	ENST00000473137
MIR890	ENST00000599503
MIR890	ENST00000401256
LZTS1	ENST00000265801
AC006026.9	ENST00000444025
MGRN1	ENST00000587747
HBB	ENST00000335295
ATP5LP7	ENST00000589299
RP5-1018K9.1	ENST00000415637
RP11-883A18.3	ENST00000579385
KRTAP12-2	ENST00000608923
KRTAP12-2	ENST00000360770
IPP	ENST00000396478
PAICSP3	ENST00000428007
RNU6-164P	ENST00000364604
MRPL33	ENST00000448427
RP11-388G22.1	ENST00000520426
RBX1	ENST00000216225
RP11-10K16.1	ENST00000500914
RP11-677O4.6	ENST00000589395
PEBP1P1	ENST00000554856
AC102953.6	ENST00000416100
CTD-2010I16.1	ENST00000524809
RP11-809H16.5	ENST00000559870
RP11-364L4.3	ENST00000512715
COX7CP1	ENST00000446556
C10orf128	ENST00000374151
EBP	ENST00000495186
EBP	ENST00000598515
RPL13AP7	ENST00000425147
C19orf71	ENST00000329493
AC006116.27	ENST00000590141
SOX9	ENST00000245479
CDK2AP2P2	ENST00000478512
SCIN	ENST00000297029
ARMC2	ENST00000392644
RP4-666O22.3	ENST00000604764
CTA-326K9.1	ENST00000603580
RP11-848G14.2	ENST00000510264
RP11-713C19.2	ENST00000508231
RP11-145P16.3	ENST00000605703
C4orf17	ENST00000326581
DLX4	ENST00000240306
RP11-356M20.2	ENST00000560515
RP11-349A22.3	ENST00000555129
MIRLET7A1	ENST00000362295
RNU7-128P	ENST00000517247
AC007677.2	ENST00000445757
ENPP7P13	ENST00000567922
PRAME	ENST00000398741
LZTR1	ENST00000215739
RP11-754I20.3	ENST00000547576
RP11-268G12.2	ENST00000452559
DHRS3	ENST00000376223
RP11-400N13.3	ENST00000438158
CACNG6	ENST00000252729
FTMT	ENST00000321339
CYP2D8P	ENST00000573149
CYP2D8P	ENST00000433633
RP11-254F7.3	ENST00000607181
METTL7B	ENST00000394252
SAP130	ENST00000357702
RP11-265F19.1	ENST00000513940
GUCA1A	ENST00000053469
ZNF713	ENST00000429591
CTD-2192J16.21	ENST00000601420
RPRD1B	ENST00000373433
RP11-400K9.3	ENST00000521930
MIR107	ENST00000362127
LINC00686	ENST00000435412
RP11-419M24.5	ENST00000420654
RP11-498C9.13	ENST00000583521
NKX6-3	ENST00000518699
RP11-140L24.3	ENST00000534211
ZNF776	ENST00000317178
TSPY26P	ENST00000565928
CLGN	ENST00000325617
KLK7	ENST00000391807
OR4N1P	ENST00000554847
RP11-79N23.1	ENST00000453790
RP11-569G13.2	ENST00000432783
RN7SKP183	ENST00000517169
RP11-713C19.1	ENST00000464002
MEX3A	ENST00000532414
CTC-281M20.4	ENST00000507398
RP11-263I1.1	ENST00000505608
CTD-2260A17.1	ENST00000512856
MIR4533	ENST00000581943
WBP11P1	ENST00000567636
LINC00410	ENST00000419272
IGHD6-25	ENST00000452198
IGHD6-25	ENST00000604592
RP11-539L10.2	ENST00000499502
SNORD116-26	ENST00000516006
RP11-497K15.1	ENST00000454946
BLK	ENST00000259089
CERS2	ENST00000271688
MIR1275	ENST00000408770
CTA-246H3.12	ENST00000609330
MIR1284	ENST00000408337
CTD-2247C11.5	ENST00000507950
TCAP	ENST00000309889
RP1-69D17.4	ENST00000430296
AC007292.3	ENST00000593524
RP11-378I6.2	ENST00000604443
AC010976.2	ENST00000596439
RP11-349A8.3	ENST00000584277
TGOLN2	ENST00000409015
IGKV1D-43	ENST00000468879
TUBG2	ENST00000251412
LINC00901	ENST00000487512
ATP2B1	ENST00000261173
ST13P15	ENST00000460666
CTD-2655K5.1	ENST00000530842
FAM208A	ENST00000355628
UPK3BL	ENST00000340457
RP5-1021I20.1	ENST00000556194
SACM1L	ENST00000389061
WASH5P	ENST00000606872
TIPARP	ENST00000295924
RP11-131J4.12	ENST00000527592
ANO1-AS2	ENST00000566923
ANO1-AS2	ENST00000531347
RP11-894J14.5	ENST00000607283
AC005229.7	ENST00000392885
RP11-638L3.3	ENST00000580659
MIR5590	ENST00000577826
SCRIB	ENST00000567584
SCRIB	ENST00000356994
RP5-1160K1.6	ENST00000369843
TDGF1P1	ENST00000445734
VDAC1P10	ENST00000416715
MAGEB18	ENST00000325250
RP11-340A13.1	ENST00000512911
NFYB	ENST00000240055
MIR4803	ENST00000583015
DENND6A	ENST00000311128
RP11-382F24.1	ENST00000514681
TCL6	ENST00000497248
CTD-2589M5.4	ENST00000527239
TUSC7	ENST00000477539
EXD2	ENST00000312994
MTUS2-AS1	ENST00000323380
TFR2	ENST00000223051
RP11-672A2.6	ENST00000528781
PKD1P5	ENST00000532415
BCHE	ENST00000264381
RP1-172N19.3	ENST00000417774
RP1-172N19.3	ENST00000595887
ADAMTSL5	ENST00000413997
PHBP4	ENST00000437447
ZNF787	ENST00000270459
AC015691.13	ENST00000394793
PPIAP11	ENST00000510729
PHKA1P1	ENST00000420457
AC104088.1	ENST00000445613
CNKSR1	ENST00000374253
ROBO3	ENST00000397801
RP11-474L11.5	ENST00000533798
AC007879.1	ENST00000435643
ACSF3	ENST00000317447
RP5-940J5.9	ENST00000602946
RP11-434I12.3	ENST00000518355
RP11-25L5.2	ENST00000514266
ZBTB20-AS1	ENST00000475939
GNAZ	ENST00000248996
C19orf38	ENST00000397820
CTD-2179L22.1	ENST00000517330
IFNA7	ENST00000239347
QRSL1P1	ENST00000400977
HNRNPCP7	ENST00000456056
SNORD114-25	ENST00000363742
IGKV3D-31	ENST00000519131
AC125232.1	ENST00000469523
SNRPD2P1	ENST00000489253
DOK7	ENST00000389653
GFPT2	ENST00000253778
RP11-1079K10.5	ENST00000509950
METTL11B	ENST00000439373
RP11-4C20.3	ENST00000420845
RNU6-435P	ENST00000384039
OR56B1	ENST00000317121
RP11-629O19.1	ENST00000550676
C9orf142	ENST00000371620
HBS1L	ENST00000367837
AC010761.14	ENST00000587898
GPR101	ENST00000298110
GUCY1A3	ENST00000296518
RP11-26L20.3	ENST00000558730
RP11-698E18.1	ENST00000508893
PTPN4	ENST00000263708
BACH1	ENST00000286800
RP11-434D2.12	ENST00000580931
RNA5SP499	ENST00000363982
RP11-554A11.8	ENST00000562772
SCN2A	ENST00000283256
PDZRN3	ENST00000263666
RP11-831A10.1	ENST00000534423
AC079630.4	ENST00000412812
IRF4	ENST00000380956
IGHD3-10	ENST00000390583
IGHD3-10	ENST00000604309
PSMB3P2	ENST00000457237
RP11-1024P17.1	ENST00000561507
MAOB	ENST00000378069
RP11-815J21.3	ENST00000560712
FAM153C	ENST00000511856
PLN	ENST00000357525
ZRSR1	ENST00000391338
GDF9	ENST00000296875
RP11-510N19.3	ENST00000457453
HSF2BP	ENST00000291560
H19	ENST00000414790
RP11-101E13.5	ENST00000608166
OR1S1	ENST00000309433
GAGE12D	ENST00000405679
GAGE12D	ENST00000600913
COLEC11	ENST00000418971
AC009480.3	ENST00000402410
RP11-382M14.1	ENST00000526512
CRISPLD1	ENST00000262207
THSD4	ENST00000261862
YWHAEP4	ENST00000505390
EFCAB13	ENST00000331493
RNU7-85P	ENST00000458851
RP11-98E6.1	ENST00000547971
MIR4668	ENST00000582284
TMEM159	ENST00000451578
OR51F3P	ENST00000610003
RPL39P3	ENST00000424573
RP11-158I23.1	ENST00000508263
U62631.5	ENST00000597110
RP11-35O15.1	ENST00000560221
FAAH	ENST00000243167
NDUFA11	ENST00000418389
NCF1	ENST00000289473
NCF1	ENST00000573351
RN7SL784P	ENST00000577319
AP3B1	ENST00000255194
RP11-235G24.1	ENST00000454826
KNOP1P5	ENST00000358374
FKBPL	ENST00000456854
FKBPL	ENST00000425378
FKBPL	ENST00000443350
FKBPL	ENST00000375156
OR4C5	ENST00000319813
IGHV3-38	ENST00000390618
IGHV3-38	ENST00000605215
RP11-220I1.4	ENST00000404812
EEF1B2P5	ENST00000444820
AC099344.3	ENST00000454489
EXOSC1	ENST00000370902
KHK	ENST00000260598
RP11-462B18.1	ENST00000424561
MTND1P24	ENST00000552175
RP3-377O6.2	ENST00000605078
RP11-644L4.1	ENST00000545912
CMP21-97G8.1	ENST00000608665
RP11-342A1.1	ENST00000504755
DLL3	ENST00000205143
CTD-2540B15.7	ENST00000587312
SNW1	ENST00000555761
RNA5SP44	ENST00000410446
CTD-2161F6.3	ENST00000503757
RP11-554D15.3	ENST00000432484
RP11-507M3.1	ENST00000584973
WNT5B	ENST00000310594
PGAM5	ENST00000498926
RPL7AP73	ENST00000413490
RPS23P8	ENST00000429775
SOWAHA	ENST00000378693
RNA5SP223	ENST00000365174
RP13-77O11.11	ENST00000593508
RP13-77O11.11	ENST00000502642
SNORD18B	ENST00000365659
RN7SL326P	ENST00000477493
RNU11-6P	ENST00000391127
CASK	ENST00000378163
RP11-266K4.9	ENST00000304751
RBPJP7	ENST00000442803
RP11-15M15.2	ENST00000435057
ARF1	ENST00000272102
AC005281.1	ENST00000418428
NTN1	ENST00000173229
CASZ1	ENST00000377022
RN7SL736P	ENST00000469674
RP11-522M21.3	ENST00000414565
RP11-77K12.4	ENST00000530512
RP11-354A14.1	ENST00000534675
MIR4270	ENST00000581799
CA7	ENST00000338437
ELAVL2	ENST00000380110
TRIM65	ENST00000269383
ATP5G2P1	ENST00000433580
TMEM199	ENST00000592692
TMEM199	ENST00000509083
PCCA	ENST00000376285
CT47A1	ENST00000371280
RP11-202H2.1	ENST00000550014
RP11-799O21.2	ENST00000457632
RNU6-881P	ENST00000516813
METTL5	ENST00000410097
SCRN2	ENST00000584123
HAGHL	ENST00000341413
RP11-174C7.1	ENST00000403074
OR4A3P	ENST00000532193
RP5-925F19.1	ENST00000451797
SAMD11P1	ENST00000571429
GNB2	ENST00000303210
SNX20	ENST00000330943
AC093110.3	ENST00000456363
BCL7B	ENST00000573321
BCL7B	ENST00000223368
RNU6-1066P	ENST00000363573
HEBP2	ENST00000607197
AC067968.3	ENST00000592583
RP4-800O15.3	ENST00000604518
COL8A1	ENST00000261037
ARHGAP39	ENST00000377307
SKP2	ENST00000274255
RP11-67L3.5	ENST00000415336
MCTS1	ENST00000371315
GAL	ENST00000265643
MIR5585	ENST00000577515
CD163	ENST00000359156
RP11-377D9.3	ENST00000543321
CTB-85P21.1	ENST00000511084
TRBV28	ENST00000390400
TRBV28	ENST00000567778
CYP4F24P	ENST00000586049
IGLC4	ENST00000517690
RP11-107E21.1	ENST00000504523
MAX	ENST00000358664
CTD-2345M20.2	ENST00000519722
RP11-108N13.1	ENST00000404015
AC093326.1	ENST00000427398
ISLR	ENST00000249842
RP11-124N3.3	ENST00000504827
RP11-638L3.2	ENST00000584299
MIR4706	ENST00000582134
CTD-2561J22.5	ENST00000594557
CTD-2554C21.2	ENST00000590433
RP11-499E18.1	ENST00000502883
PRDM15	ENST00000269844
KLRG2	ENST00000340940
GAPDHP37	ENST00000442317
CALR	ENST00000316448
RPL21P120	ENST00000568122
RPL21P120	ENST00000482905
RP11-109M19.1	ENST00000576710
IGHV1-14	ENST00000523391
IGHV1-14	ENST00000604483
RN7SKP246	ENST00000364553
ARHGAP19	ENST00000358531
KLF1	ENST00000264834
VPS41	ENST00000310301
RNU6-909P	ENST00000517058
LRRC3-AS1	ENST00000426578
RN7SL627P	ENST00000577683
AC090018.1	ENST00000420238
PPCS	ENST00000372561
OR52E3P	ENST00000452083
AC012445.1	ENST00000442831
RP11-137L10.5	ENST00000450370
MAP3K5	ENST00000359015
AC008686.1	ENST00000397557
RP11-1017G21.3	ENST00000556294
AC004980.10	ENST00000423648
RP11-554L12.1	ENST00000553029
MIR5683	ENST00000584820
ZNF209P	ENST00000593450
RP11-91H12.4	ENST00000502813
EFCAB6-AS1	ENST00000431327
RP4-745E8.2	ENST00000444923
HBEGF	ENST00000230990
TCP10	ENST00000397829
CTD-2410N18.1	ENST00000498563
ZNF566	ENST00000392170
RP11-320H14.1	ENST00000568817
RP11-435F13.2	ENST00000437248
DEPDC4	ENST00000550587
PSMA6P1	ENST00000400275
ATXN7L3	ENST00000454077
RP11-407A16.1	ENST00000422539
SNORD36A	ENST00000362874
RPS27P5	ENST00000444247
RP11-301N24.3	ENST00000422675
RP4-560B9.6	ENST00000604447
RP11-203F10.6	ENST00000403842
MIR3160-1	ENST00000577972
MTND4P9	ENST00000507819
DLEU1	ENST00000378180
RP11-758M4.4	ENST00000518128
HNRNPA1P44	ENST00000503999
SNORD114-14	ENST00000362723
AP006621.5	ENST00000530083
CX3CL1	ENST00000563383
MORF4L2P1	ENST00000503761
HSPE1P20	ENST00000538133
RP11-402L1.12	ENST00000436649
RP11-284J1.1	ENST00000606622
RP1-302D9.2	ENST00000452505
CTA-503F6.2	ENST00000427360
RP11-29H23.4	ENST00000456382
ZNF75D	ENST00000593516
ZNF75D	ENST00000370766
PYURF	ENST00000273968
OR9I2P	ENST00000427941
COX6CP12	ENST00000446748
JTBP1	ENST00000441314
RP11-348H3.5	ENST00000422630
DFNA5	ENST00000342947
PTGR2	ENST00000267568
PCDHGB3	ENST00000576222
RNA5SP231	ENST00000410496
SERPINA12	ENST00000341228
CINP	ENST00000536961
RP11-118N24.2	ENST00000489238
RP11-380P13.1	ENST00000499715
RP11-60E8.2	ENST00000604279
CHST14	ENST00000306243
OGFR	ENST00000290291
CTD-2246P4.1	ENST00000585863
RP11-254F7.4	ENST00000607140
RNU6-1000P	ENST00000391066
RP11-1277A3.3	ENST00000606358
OBFC1	ENST00000224950
CNOT6	ENST00000261951
RPL7P17	ENST00000470927
RGS5	ENST00000367903
RP11-567M16.3	ENST00000317008
TBCCD1	ENST00000338733
RP11-793B23.1	ENST00000506420
HEATR1	ENST00000366582
DMRTB1	ENST00000371445
MIR3188	ENST00000583494
RNU7-8P	ENST00000515958
HMGB1P37	ENST00000439613
KCNT1	ENST00000298480
RP11-1166P10.1	ENST00000568208
OR10R3P	ENST00000361688
RP11-840I19.5	ENST00000606934
RNU6-1106P	ENST00000390845
RP11-863K10.4	ENST00000453751
RP11-173A16.2	ENST00000588561
AC107218.3	ENST00000437883
TMED7	ENST00000456936
ANKRD19P	ENST00000473204
RP11-618M23.2	ENST00000519185
RP11-110H1.8	ENST00000582983
ZCCHC14	ENST00000268616
RN7SKP205	ENST00000410999
ANGPTL5	ENST00000334289
FAM64A	ENST00000572595
SLFN12	ENST00000304905
RARRES1	ENST00000237696
RAC1P7	ENST00000445367
TFAP2A-AS1	ENST00000420777
RP11-460H9.1	ENST00000506917
SRSF6	ENST00000244020
ARPC4-TTLL3	ENST00000397256
RP13-638C3.6	ENST00000581815
ACTN4P2	ENST00000473049
F10	ENST00000375559
RP11-346M5.1	ENST00000437364
RNU6-206P	ENST00000384116
C1orf123	ENST00000294360
RP11-492I2.1	ENST00000456070
ACYP1	ENST00000555463
RP11-58A17.2	ENST00000551532
RP11-58A17.2	ENST00000573097
LTV1P1	ENST00000510683
GS1-393G12.12	ENST00000565946
GS1-393G12.12	ENST00000525023
MED12L	ENST00000474524
UNGP3	ENST00000603734
ALOX15B	ENST00000380183
OSTN	ENST00000339051
RP4-591L5.2	ENST00000420354
RP11-114H23.2	ENST00000548702
LA16c-381G6.1	ENST00000561511
TRBV7-4	ENST00000390369
TRBV7-4	ENST00000566285
AC023137.2	ENST00000448241
FAM213B	ENST00000378424
AF001550.7	ENST00000572747
DLGAP2	ENST00000520901
PLCB2-AS1	ENST00000559520
RP11-53B2.3	ENST00000585366
MSN	ENST00000360270
CENPP	ENST00000375587
FAM149B1P1	ENST00000533428
RGPD6	ENST00000329516
RBMX2P5	ENST00000424312
RNA5SP38	ENST00000410750
TRAPPC5	ENST00000317378
FAM117A	ENST00000240364
MIA2	ENST00000280082
CTC-265N9.1	ENST00000523591
RP11-15E18.1	ENST00000559739
DGKB	ENST00000258767
ALX3	ENST00000369792
DPPA2P3	ENST00000411853
FEM1AP3	ENST00000403722
ICAM2	ENST00000412356
FAM230B	ENST00000451257
SLC7A5P1	ENST00000568957
XX-CR54.1	ENST00000437830
GRIA1	ENST00000448073
MYO1B	ENST00000304164
GS1-184P14.2	ENST00000419089
KCNH6	ENST00000583023
FAM53B	ENST00000337318
OR56B3P	ENST00000316517
PDK4	ENST00000005178
TCEB1P2	ENST00000566760
RP11-517I3.1	ENST00000515808
IGKV3-25	ENST00000523155
RP11-483I13.2	ENST00000438965
RP11-714G18.1	ENST00000514884
RP11-26N15.2	ENST00000584547
CTSO	ENST00000573499
CTSO	ENST00000433477
RNU6-519P	ENST00000410590
RN7SL159P	ENST00000485164
NBR2	ENST00000460115
ACTRT3	ENST00000330368
AC104076.2	ENST00000448912
RP3-470L22.1	ENST00000435429
C1QC	ENST00000374637
RP11-297M9.1	ENST00000561538
COMMD10	ENST00000274458
RP11-1079J22.1	ENST00000549459
SLC37A1	ENST00000352133
ZNF780A	ENST00000455521
RPL7AP57	ENST00000497708
USP9YP20	ENST00000419224
CCDC142	ENST00000393965
SOX14	ENST00000306087
PLS1-AS1	ENST00000485338
MLEC	ENST00000228506
HCAR1	ENST00000356987
RP3-415N12.1	ENST00000404926
DNMBP-AS1	ENST00000434409
RP11-68L1.2	ENST00000509191
MARK2P13	ENST00000419108
CTA-481E9.4	ENST00000567304
NEIL2	ENST00000284503
QRFPR	ENST00000394427
AC005086.3	ENST00000549745
CABP5	ENST00000293255
SRD5A1	ENST00000274192
RNU1-107P	ENST00000516617
ARL8A	ENST00000272217
PRDM14	ENST00000276594
RP11-307C19.1	ENST00000561283
AC073551.1	ENST00000450741
AC096554.1	ENST00000458182
TPTE	ENST00000361285
RNU6-255P	ENST00000516957
ARID5B	ENST00000279873
RN7SL452P	ENST00000482923
MIR3661	ENST00000577394
OR7E97P	ENST00000466578
RP11-59O2.1	ENST00000521474
CTD-2026K11.3	ENST00000566036
CYP39A1	ENST00000275016
BDP1	ENST00000573110
BDP1	ENST00000358731
RNU2-46P	ENST00000517038
LL22NC03-30E12.11	ENST00000440562
MIR1256	ENST00000408881
KDELR1	ENST00000600980
AC006116.13	ENST00000589958
SLC18A3	ENST00000374115
RP4-792G4.3	ENST00000455736
RP5-827C21.6	ENST00000610233
BTBD2	ENST00000255608
RP11-711D18.2	ENST00000557474
RP11-711D18.2	ENST00000606363
RP11-485B17.5	ENST00000515651
SYNRG	ENST00000339208
CXXC1P1	ENST00000483225
VCX2	ENST00000317103
MIR3137	ENST00000577367
TIGD1	ENST00000408957
RPS7P13	ENST00000413955
AC009133.21	ENST00000572964
NPAS3	ENST00000551492
EIF3KP1	ENST00000513279
RP11-521D12.4	ENST00000496833
TMEM61	ENST00000371268
TCF21	ENST00000237316
RN7SL598P	ENST00000494391
ZKSCAN2	ENST00000328086
HHAT	ENST00000391905
TLDC1	ENST00000343629
SLC38A2	ENST00000256689
UBE4B	ENST00000343090
C16orf92	ENST00000300575
CUX2P1	ENST00000606426
RP11-132G19.3	ENST00000434488
RP11-777J24.1	ENST00000465478
REPS1	ENST00000450536
UTP18	ENST00000225298
RP11-407A16.7	ENST00000545535
NYAP1	ENST00000423930
RP11-643C9.1	ENST00000563932
SPDYE7P	ENST00000572948
SPDYE7P	ENST00000355920
CYCS	ENST00000305786
MC3R	ENST00000243911
FOXM1	ENST00000342628
HIST1H2APS2	ENST00000454426
KRT8P8	ENST00000434750
RP11-241K18.2	ENST00000435940
UQCRH	ENST00000311672
GSTT2	ENST00000215780
AE000660.4	ENST00000553572
FAM186B	ENST00000257894
